"Cell Marker","Supported NO."
"CD4","40"
"CD3","25"
"CD25","21"
"CD45RA","15"
"CD8","14"
"CD62L","10"
"CD27","8"
"CD127","7"
"FOXP3","7"
"CCR7","6"
"CD45","4"
"CD8A","4"
"CD8B","4"
"CCR6","3"
"CD11b","3"
"CD30","3"
"CD45RO","3"
"CD6","3"
"CTLA4","3"
"IL2RA","3"
"ABLIM1","2"
"ACTN1","2"
"BCL2","2"
"C1orf162","2"
"C6orf48","2"
"CCR10","2"
"CCR4","2"
"CD101","2"
"CD18","2"
"CD28","2"
"CD31","2"
"CD39","2"
"CD3D","2"
"CD49d","2"
"CD55","2"
"CD56","2"
"CD57","2"
"CD95","2"
"CXCR3","2"
"EIF3L","2"
"FAM117B","2"
"FCRL3","2"
"GARP","2"
"GPR183","2"
"IFN-gamma","2"
"IL-4","2"
"IL7R","2"
"LDLRAP1","2"
"LRRC75A-AS1","2"
"LRRN3","2"
"Leu-2a","2"
"MAL","2"
"MYC","2"
"NELL2","2"
"NOSIP","2"
"Perforin","2"
"SERINC5","2"
"TCF7","2"
"TMEM204","2"
"TRABD2A","2"
"TXK","2"
"ADAM8","1"
"ADGRG1","1"
"ADRB2","1"
"AGTPBP1","1"
"AHNAK","1"
"AIF1","1"
"ANXA2P2","1"
"APBA2","1"
"APEX1","1"
"ARHGAP25","1"
"ARHGAP45","1"
"ARHGEF18","1"
"ARL4C","1"
"ATM","1"
"ATP2B1","1"
"B3GNT2","1"
"BACH2","1"
"BEX4","1"
"BIN2","1"
"BIRC3","1"
"C12orf75","1"
"C1orf21","1"
"C1orf228","1"
"CA6","1"
"CAMK4","1"
"CAPN2","1"
"CASP2","1"
"CASP8","1"
"CCDC141","1"
"CCM2","1"
"CCR8","1"
"CD122","1"
"CD14","1"
"CD146","1"
"CD16","1"
"CD161","1"
"CD19","1"
"CD197","1"
"CD2","1"
"CD248","1"
"CD272","1"
"CD29","1"
"CD300A","1"
"CD38","1"
"CD3E","1"
"CD3G","1"
"CD42b","1"
"CD45RB","1"
"CD5","1"
"CD52","1"
"CD69","1"
"CD71","1"
"CEP68","1"
"CEP78","1"
"CLDND1","1"
"CMTM7","1"
"COQ8A","1"
"CORO7","1"
"CORO7-PAM16","1"
"CPNE2","1"
"CX3CR1","1"
"CXCR4","1"
"DGKA","1"
"DSTN","1"
"EEF1B2","1"
"EEF2","1"
"EFHD2","1"
"EIF3E","1"
"ELK3","1"
"EMP3","1"
"EPHX2","1"
"EXOSC8","1"
"F5","1"
"FAM102A","1"
"FAM110A","1"
"FAM60A","1"
"FANK1","1"
"FCGR3A","1"
"FCGR3B","1"
"FCMR","1"
"FCRL6","1"
"FGFBP2","1"
"FGR","1"
"FHIT","1"
"FKBP5","1"
"FLNA","1"
"FOXP1","1"
"FUT11","1"
"GAB3","1"
"GAS5","1"
"GCSAM","1"
"GIMAP2","1"
"GIMAP5","1"
"GIMAP8","1"
"GITR","1"
"GK5","1"
"GLRX","1"
"GLTSCR2","1"
"GLUL","1"
"GLUT1","1"
"GNLY","1"
"GPR155","1"
"GZMB","1"
"GZMH","1"
"GZMK","1"
"Granzyme","1"
"HAPLN3","1"
"HELIOS","1"
"HPGD","1"
"IGF1R","1"
"IKZF2","1"
"IL-17","1"
"IL10RA","1"
"IL17Ra","1"
"ISG20","1"
"ITFG2","1"
"ITGAM","1"
"KCNAB2","1"
"KLRD1","1"
"KLRF1","1"
"LDHB","1"
"LEF1","1"
"LEF1-AS1","1"
"LGALS1","1"
"LILRB1","1"
"LINC01550","1"
"LITAF","1"
"LLGL2","1"
"LMNA","1"
"LMO7","1"
"LPCAT1","1"
"LRRC75A","1"
"LTB","1"
"LUZP6","1"
"Leu-3a","1"
"Leu8","1"
"MAML2","1"
"MBP","1"
"METTL7A","1"
"MLXIP","1"
"MTSS1","1"
"MYO1F","1"
"MYO1G","1"
"NDFIP1","1"
"NK1.1","1"
"NKG7","1"
"NOG","1"
"NPAT","1"
"NPM1","1"
"NT5E","1"
"OSBPL5","1"
"OXNAD1","1"
"PASK","1"
"PATL2","1"
"PD-1","1"
"PDE3B","1"
"PDK1","1"
"PDP1","1"
"PI16","1"
"PIK3IP1","1"
"PIK3R5","1"
"PLEK","1"
"PLEKHB1","1"
"PLEKHG3","1"
"PRKCA","1"
"PRKCB","1"
"PRKCQ-AS1","1"
"PRSS23","1"
"PSIP1","1"
"PXN","1"
"R3HDM4","1"
"RACK1","1"
"RAP1B","1"
"RAP1GAP2","1"
"RAP2B","1"
"RASGRP2","1"
"RASSF1","1"
"RCAN3","1"
"REREP3","1"
"RGS19","1"
"RIC3","1"
"RNF166","1"
"RNF214","1"
"RPS5","1"
"RPS8","1"
"RSL1D1","1"
"RTKN2","1"
"S1PR5","1"
"SAMD3","1"
"SAMHD1","1"
"SATB1","1"
"SCML4","1"
"SELL","1"
"SELPLG","1"
"SGSM3","1"
"SH3BP5","1"
"SH3BP5-AS1","1"
"SH3YL1","1"
"SLC2A1","1"
"SLC40A1","1"
"SLC9A3R1","1"
"SLCO4C1","1"
"SMAP2","1"
"SNED1","1"
"SNURF","1"
"SNX20","1"
"SPINT2","1"
"SPON2","1"
"SPTBN1","1"
"SRPK2","1"
"STAM","1"
"STK10","1"
"STMN3","1"
"SVIL","1"
"SYNE1","1"
"T-MICG","1"
"TAGLN2","1"
"TBC1D4","1"
"TBX21","1"
"TESPA1","1"
"TGFBR3","1"
"THAP7","1"
"THEM4","1"
"TIGIT","1"
"TIM3","1"
"TLDC2","1"
"TM4SF19","1"
"TM4SF19-TCTEX1D2","1"
"TMEM123","1"
"TMEM63A","1"
"TNFSF8","1"
"TOMM7","1"
"TPCN1","1"
"TPST2","1"
"TRAP1","1"
"TRIM16","1"
"TRMT1","1"
"TSHZ2","1"
"TTC16","1"
"TTC38","1"
"TTC39C","1"
"TTN","1"
"UBQLN2","1"
"UCHL1","1"
"USP15","1"
"USP28","1"
"VCL","1"
"VEZF1","1"
"VIPR1","1"
"WDR37","1"
"WDR43","1"
"ZEB2","1"
"ZEB2-AS1","1"
"ZNF101","1"
"ZNF600","1"
"ZNF683","1"